标题,播放次数,评论人数,时长,收藏人数,发布时间,视频截图,视频播放地址
中国交通事故20190416：每天最新的车祸实例，助你提高安全意识,117647,723,08:41,228,2019-04-17 10:40:33,//i0.hdslb.com/bfs/archive/c9fe0db8c9f1974ac027274296181bf6771f7fbb.jpg,https://www.bilibili.com/video/av49559357
中国交通事故20190415：每天最新的车祸实例，助你提高安全意识,140639,587,08:34,229,2019-04-16 11:05:22,//i2.hdslb.com/bfs/archive/261029f3465b2701f3be8854820ae7f16caf4c2d.jpg,https://www.bilibili.com/video/av49456677
中国交通事故20190414：每天最新的车祸实例，助你提高安全意识,194883,1016,11:02,461,2019-04-15 11:45:14,//i1.hdslb.com/bfs/archive/de035d311d213974e9af29f31c1a5bfba3d30680.jpg,https://www.bilibili.com/video/av49359947
"中国路怒合集2019（五） : 打赢坐牢, 打输住院!",179834,808,07:51,403,2019-04-14 09:30:23,//i2.hdslb.com/bfs/archive/f6feff471e5cec0aa70b987c477d199a9685ce7b.jpg,https://www.bilibili.com/video/av49240722
中国交通事故20190411：每天最新的车祸实例，助你提高安全意识,153562,833,08:39,251,2019-04-12 09:30:10,//i0.hdslb.com/bfs/archive/139b91f5b5506ed0919630867bdda75d410692d1.jpg,https://www.bilibili.com/video/av49025683
中国交通事故20190410：每天最新的车祸实例，助你提高安全意识,154090,1008,08:19,451,2019-04-11 12:15:28,//i2.hdslb.com/bfs/archive/3b44838ef2dbc4d550f1a33461f5c8814e1a6d24.jpg,https://www.bilibili.com/video/av48935057
中国交通事故20190409：每天最新的车祸实例，助你提高安全意识,138615,481,08:29,198,2019-04-10 11:40:17,//i0.hdslb.com/bfs/archive/50210b72a754d2ac9870178eaf0f8535bb401733.jpg,https://www.bilibili.com/video/av48841533
中国交通事故20190408：每天最新的车祸实例，助你提高安全意识,156421,796,08:26,218,2019-04-09 11:06:30,//i0.hdslb.com/bfs/archive/31e1505a3f6c5dd6b69256cf70a57e89d184ffd9.jpg,https://www.bilibili.com/video/av48769975
中国交通事故20190407：每天最新的车祸实例，助你提高安全意识,179104,907,07:29,286,2019-04-08 12:00:25,//i1.hdslb.com/bfs/archive/fbe85a693c358c2964a9efdd404f47940b160f64.jpg,https://www.bilibili.com/video/av48658201
中国交通事故20190406：每天最新的车祸实例，助你提高安全意识,128228,669,08:33,548,2019-04-07 11:40:48,//i0.hdslb.com/bfs/archive/9a6af1189afbbb8cd09bf8efc1a56d7a2fcad3e3.jpg,https://www.bilibili.com/video/av48549379
【删减版】交通事故20190405：每天最新的车祸实例，助你提高安全意识,77834,784,07:08,123,2019-04-07 01:19:37,//i2.hdslb.com/bfs/archive/0987c6b41cbf7c0781629316676f35c7af4b6759.jpg,https://www.bilibili.com/video/av48536555
中国交通事故20190404：每天最新的车祸实例，助你提高安全意识,147167,680,08:08,203,2019-04-05 11:50:28,//i1.hdslb.com/bfs/archive/26052274469f00dffdb333b408dfb4931c62384d.jpg,https://www.bilibili.com/video/av48305050
中国交通事故20190403：每天最新的车祸实例，助你提高安全意识,162005,874,07:36,501,2019-04-04 11:55:53,//i1.hdslb.com/bfs/archive/d24c151e0ddd648bff96107e1866594ece4eb1dc.jpg,https://www.bilibili.com/video/av48212376
中国交通事故20190402：每天最新的车祸实例，助你提高安全意识,152423,783,07:01,273,2019-04-03 12:15:48,//i1.hdslb.com/bfs/archive/a009d6c6e67623d69a7845abe50e6daf50c319ff.jpg,https://www.bilibili.com/video/av48128714
中国交通事故20190401：每天最新的车祸实例，助你提高安全意识,156060,774,08:04,362,2019-04-02 12:15:33,//i2.hdslb.com/bfs/archive/c7ed2b573978ffae97c668626e86126497f1a07f.jpg,https://www.bilibili.com/video/av48034434
真人GTA秒出警系列(三),526793,1275,05:12,3111,2019-04-01 09:30:39,//i2.hdslb.com/bfs/archive/23db2fabf192d4688a10f3e882ea0b8b4ffe3892.jpg,https://www.bilibili.com/video/av47939475
中国交通事故20190330：每天最新的车祸实例，助你提高安全意识,146976,1062,09:19,301,2019-03-31 12:05:28,//i1.hdslb.com/bfs/archive/1d799be83140b63c658ea6d73dcbfb95727e56e2.jpg,https://www.bilibili.com/video/av47825203
中国交通事故20190329：每天最新的车祸实例，助你提高安全意识,183583,693,07:26,349,2019-03-30 12:15:17,//i0.hdslb.com/bfs/archive/89f6c6fc2e579d6f1993452ab06be6e6e7345e27.jpg,https://www.bilibili.com/video/av47711056
中国交通事故20190328：每天最新的车祸实例，助你提高安全意识,155019,723,07:29,333,2019-03-29 12:10:39,//i1.hdslb.com/bfs/archive/5aa607020fb55533184da8cd8912fcbb2a0e29bd.jpg,https://www.bilibili.com/video/av47621541
中国交通事故20190327：每天最新的车祸实例，助你提高安全意识,109798,563,08:52,172,2019-03-28 11:35:00,//i0.hdslb.com/bfs/archive/ba82f4480b89539e9f97fb01aa47e1cdc16b9276.jpg,https://www.bilibili.com/video/av47529592
中国交通事故20190326：每天最新的车祸实例，助你提高安全意识,134646,672,09:33,256,2019-03-27 12:15:55,//i2.hdslb.com/bfs/archive/873d7b2eb542fa24260312cfff4e9f8a16e25088.jpg,https://www.bilibili.com/video/av47446732
